Cited paper,Title,Author,Affiliation,Country
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Yashar Deldjoo,Polytechnic University of Bari,Italy
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Zhankui He,"University of California, La Jolla",USA
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Julian McAuley,"University of California, La Jolla",USA
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Anton Korikov,University of Toronto,Canada
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Scott Sanner,University of Toronto,Canada
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Arnau Ramisa,"Amazon, Palo Alto",USA
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),René Vidal,"Amazon, Palo Alto",USA
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Maheswaran Sathiamoorthy,"Bespoke Labs, Santa Clara",USA
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Atoosa Kasirzadeh,University of Edinburgh,UK
LAPS,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),Silvia Milano,University of Exeter and LMU Munich,Germany
LAPS,A Survey of Conversational Search,FENGRAN MO,"Department of Computer Science and Operations Research, University of Montreal",Canada
LAPS,A Survey of Conversational Search,KELONG MAO,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,ZILIANG ZHAO,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,HONGJIN QIAN,Beijing Academy of Artificial Intelligence,China
LAPS,A Survey of Conversational Search,HAONAN CHEN,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,YIRUO CHENG,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,XIAOXI LI,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,YUTAO ZHU,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,ZHICHENG DOU,"Gaoling School of Artificial Intelligence, Renmin University of China",China
LAPS,A Survey of Conversational Search,JIAN-YUN NIE,"Department of Computer Science and Operations Research, University of Montreal",Canada
LAPS,A Survey on Recent Advances in Conversational Data Generation,HEYDAR SOUDANI,Radboud University,The Netherlands
LAPS,A Survey on Recent Advances in Conversational Data Generation,ROXANA PETCU,University of Amsterdam,The Netherlands
LAPS,A Survey on Recent Advances in Conversational Data Generation,EVANGELOS KANOULAS,University of Amsterdam,The Netherlands
LAPS,A Survey on Recent Advances in Conversational Data Generation,FAEGHEH HASIBI,Radboud University,The Netherlands
LAPS,A survey on pragmatic processing techniques,Rui Mao,School of Computer Science and Engineering,Singapore
LAPS,A survey on pragmatic processing techniques,Mengshi Ge,Nanyang Technological University,Singapore
LAPS,A survey on pragmatic processing techniques,Sooji Han,Intapp,Germany
LAPS,A survey on pragmatic processing techniques,Wei Li,National University of Singapore,Singapore
LAPS,A survey on pragmatic processing techniques,Kai He,National University of Singapore,Singapore
LAPS,A survey on pragmatic processing techniques,Luyao Zhu,Nanyang Technological University,Singapore
LAPS,A survey on pragmatic processing techniques,Erik Cambria,Nanyang Technological University,Singapore
LAPS,Reinforced Prompt Personalization for Recommendation with Large Language Models,WENYU MAO,"School of Cyber Science and Technology, University of Science and Technology of China",China
LAPS,Reinforced Prompt Personalization for Recommendation with Large Language Models,JIANCAN WU,University of Science and Technology of China,China
LAPS,Reinforced Prompt Personalization for Recommendation with Large Language Models,WEIJIAN CHEN,Hefei Comprehensive National Science Center,China
LAPS,Reinforced Prompt Personalization for Recommendation with Large Language Models,CHONGMING GAO,University of Science and Technology of China,China
